ID,Topography,ph_bare,tr_bare
1,Slope,60,59.1
2,Plain,100,100
3,Plain,100,100
4,Plain,40,32.3
5,Slope,50,66.7
6,Plain,70,52.7
7,Plain,80,79.6
8,Plain,35,50.5
9,Plain,80,83.9
10,Plain,70,78.5
11,Plain,95,94.6
12,Slope,90,87.1
13,Plain,70,74.2
14,Plain,80,91.4
15,Slope,60,74.2
16,Plain,40,40.9
18,Slope,50,48.4
19,Plain,85,83.9
20,Plain,65,67.7
21,Slope,70,77.4
22,Plain,45,62.4
23,Plain,65,61.3
24,Slope,65,60.2
25,Plain,70,75.3
26,Slope,65,62.4
27,Plain,55,62.4
28,NA,65,72
29,Plain,55,77.4
30,Plain,95,96.8
31,Plain,35,48.4
32,Slope,55,62.4
33,Slope,50,63.4
34,Plain,70,72
35,Plain,75,76.3
36,Slope,25,50.5
37,Slope,30,35.5
38,Plain,35,76.3
39,Plain,35,33.3
40,Plain,25,33.3
41,Slope,60,49.5
42,Plain,70,73.1
43,Plain,95,96.8
44,Slope,85,77.4
45,Plain,50,36.6
46,Plain,90,83.9
47,Plain,90,84.9
48,Plain,75,61.3
49,Plain,90,81.7
50,Plain,75,73.1
51,Plain,70,65.6
52,Plain,80,75.3
53,Flat,90,84.9
54,Slope,85,82.8
56,Flat,35,37.6
57,Slope,70,83.9
58,Plateau,70,73.1
59,Flat,100,100
60,Flat,35,59.1
61,Slope,70,68.8
62,Flat,50,53.8
63,Flat,100,100
64,Flat,75,72
65,Flat,65,67.7
66,Flat,20,23.7
67,Flat,15,32.3
68,Flat,20,15.1
69,Slope,45,44.1
70,Slope,25,46.2
71,Slope,35,23.7
72,Flat,25,48.4
73,Slope,50,63.4
74,Flat,75,63.4
75,Flat,80,79.6
76,Flat,60,60.2
77,Slope,60,55.9
78,Flat,65,68.8
79,Flat,100,100
80,Flat,60,54.8
81,Flat,55,64.5
82,,70,61.3
83,Flat,80,74.2
84,Flat,65,67.7
85,Slope,55,64.5
86,Flat,85,84.9
87,Flat,60,71
88,Flat,30,53.8
89,Flat,35,52.7
90,Slope,70,69.9
91,Flat,30,22.6
92,Flat,65,52.7
93,Flat,75,80.6
94,Flat,65,83.9
95,Flat,100,100
96,Flat,90,89.2
97,Flat,70,77.4
98,Slope,85,78.5
99,Slope,60,61.3
100,Flat,60,63.4
101,Flat,70,73.1
102,Slope,70,68.8
103,Flat,20,35.5
104,Flat,65,73.1
